method,target_sparsity,actual_sparsity,seed,memorized,grokked,memorization_step,grokking_step,grokking_gap,final_train_acc,final_val_acc,last_logged_step,live_confirmation_step,evals_from_live_confirmation,stopped_before_budget,weight_decay,n_grok_steps,summary_source,history_source
one_shot,0.0,0.0,1,True,True,150,935,785,1.0,1.0,40000,940,1573,False,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.00/seed_1/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.00/seed_1/grok_phase/history.json
one_shot,0.0,0.0,2,True,True,145,965,820,1.0,1.0,40000,970,1567,False,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.00/seed_2/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.00/seed_2/grok_phase/history.json
one_shot,0.0,0.0,3,True,True,175,690,515,1.0,1.0,40000,695,1622,False,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.00/seed_3/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.00/seed_3/grok_phase/history.json
one_shot,0.0,0.0,4,True,True,140,470,330,1.0,1.0,40000,475,1666,False,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.00/seed_4/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.00/seed_4/grok_phase/history.json
one_shot,0.2,0.20000095682792407,0,True,True,3325,3700,375,1.0,0.9963868225292243,16200,3725,500,True,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.20/seed_0/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.20/seed_0/grok_phase/history.json
one_shot,0.2,0.20000095682792407,1,True,True,145,270,125,1.0,1.0,9850,275,500,True,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.20/seed_1/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.20/seed_1/grok_phase/history.json
one_shot,0.2,0.20000095682792407,2,True,True,140,380,240,1.0,1.0,10400,385,500,True,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.20/seed_2/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.20/seed_2/grok_phase/history.json
one_shot,0.2,0.20000095682792407,3,True,True,4350,5775,1425,0.9931972789115646,0.9555791710945802,18275,5800,500,True,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.20/seed_3/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.20/seed_3/grok_phase/history.json
one_shot,0.2,0.20000095682792407,4,True,True,210,325,115,1.0,0.9985122210414453,10125,330,500,True,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.20/seed_4/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.20/seed_4/grok_phase/history.json
one_shot,0.5,0.5,0,False,False,,,,0.9228316326530612,0.8784272051009564,40000,,,False,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.50/seed_0/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.50/seed_0/grok_phase/history.json
one_shot,0.5,0.5,1,True,True,5350,8100,2750,1.0,0.9987247608926674,20600,8125,500,True,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.50/seed_1/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.50/seed_1/grok_phase/history.json
one_shot,0.5,0.5,2,True,True,125,190,65,1.0,0.9970244420828905,9450,195,500,True,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.50/seed_2/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.50/seed_2/grok_phase/history.json
one_shot,0.5,0.5,3,True,True,125,140,15,1.0,1.0,9200,145,500,True,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.50/seed_3/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.50/seed_3/grok_phase/history.json
one_shot,0.5,0.5,4,True,True,1800,2025,225,1.0,1.0,14525,2050,500,True,1.0,40000,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.50/seed_4/grok_phase/summary.json,res/raw/exp_b_sp_00_20_50.zip!exp_b/one_shot/sp_0.50/seed_4/grok_phase/history.json
one_shot,0.7,0.7000009568279241,0,True,True,985,1100,115,1.0,0.997874601487779,13600,1125,500,True,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.70/seed_0/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.70/seed_0/grok_phase/history.json
one_shot,0.7,0.7000009568279241,1,True,True,6975,19175,12200,0.9991496598639455,0.9528161530286928,31675,19200,500,True,1.0,40000,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.70/seed_1/grok_phase/summary.json,res/raw/exp_b_sp_70_80.zip!exp_b/one_shot/sp_0.70/seed_1/grok_phase/history.json
